,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
68,@BBC,0.2023,0.0,0.904,0.096,"🎽@BBCThree talked to a 'crop top historian' about the comeback of the male crop top...
Apparently ""fragile masculin… https://t.co/uipbGRcaf6",Fri Aug 31 11:03:06 +0000 2018,69
69,@BBC,0.4199,0.0,0.823,0.177,"RT @BBCScotland: Drumming like you've never seen before! 🥁

Watch #TheRoyalEdinburghMilitaryTattoo on #BBCiPlayer https://t.co/qjoDEhcgUS h…",Fri Aug 31 09:12:34 +0000 2018,70
70,@BBC,0.0,0.0,1.0,0.0,"RT @BBCRadio4: ""My book is one of my passions.""
But which book did David Beckham pick?
With over 2,000 episodes to discover, make #DesertIs…",Fri Aug 31 08:58:26 +0000 2018,71
71,@BBC,0.0,0.0,1.0,0.0,"RT @BBCRadio4: ""It's very trivial...""
But what was the 'trivial' item that @EdSheeran wanted to be marooned with?
With over 2,000 episodes…",Fri Aug 31 08:58:19 +0000 2018,72
72,@BBC,0.7717,0.0,0.599,0.401,"🐐 + 🐎 = ❤️
This rescued horse has formed a beautiful relationship with a local goat. https://t.co/LSiib3iQZn",Fri Aug 31 08:00:11 +0000 2018,73
73,@BBC,0.4215,0.0,0.877,0.123,"😲📖 A book of etchings by a famed Italian artist which was found in a charity shop has fetched £30,000 at auction.
👉… https://t.co/yqo9GALupc",Fri Aug 31 07:29:05 +0000 2018,74
74,@BBC,0.25,0.0,0.889,0.111,😲♻️🐉 This 'river monster’ was created from the monstrous amount of rubbish found in Leicester's waterways. https://t.co/lECYnJbKp1,Fri Aug 31 07:00:06 +0000 2018,75
75,@BBC,-0.4588,0.242,0.635,0.123,"The story, both thrilling and dark, of the world's most famous perfume. 

The No 5 War | 9pm | @BBCFour |… https://t.co/q6uRDNO5kC",Thu Aug 30 19:02:03 +0000 2018,76
76,@BBC,0.0,0.0,1.0,0.0,"Cases of measles have hit record levels in Europe. 

Experts says it's because fewer people are getting vaccinated . https://t.co/HhX9QDavGn",Thu Aug 30 18:00:21 +0000 2018,77
77,@BBC,0.0,0.0,1.0,0.0,"🐬 A dolphin in Scotland's Firth of Clyde may be exchanging messages with porpoises.
👉 https://t.co/oSRN7HThWd https://t.co/cQHxucMZBf",Thu Aug 30 17:03:06 +0000 2018,78
78,@BBC,0.0,0.0,1.0,0.0,"🛍🛒 Is it possible to shop without buying plastic?
#PlasticsAction https://t.co/D1zODaG8u1",Thu Aug 30 16:01:00 +0000 2018,79
79,@BBC,-0.6808,0.259,0.741,0.0,"Electric shock collars for cats and dogs will be banned in England, the government has announced.
👉… https://t.co/x1OSJRsWsI",Thu Aug 30 13:00:06 +0000 2018,80
80,@BBC,0.3182,0.11,0.67,0.22,"Tomisin was just 12 when she created an app which helps lost children in Nigeria. 
#BBCInnovators https://t.co/aBbTNebtdD",Thu Aug 30 12:00:08 +0000 2018,81
81,@BBC,0.0,0.0,1.0,0.0,"Fantasy to reality: The designer who brought Tolkien's Middle-earth to the screen.
👉 https://t.co/cImtegWbN0 https://t.co/v6XRZ2qHx0",Thu Aug 30 11:00:11 +0000 2018,82
82,@BBC,-0.4588,0.214,0.786,0.0,RT @BBCFOUR: The tragic story behind the N°5 bottle's distinctive shape... https://t.co/NkRjCxvxB4,Thu Aug 30 10:24:25 +0000 2018,83
83,@BBC,0.0,0.0,1.0,0.0,🎤🎶 Prince Harry gave a TINY taster of his singing voice when he and the Duchess of Sussex visited the cast of… https://t.co/nkyF92qiBL,Thu Aug 30 08:57:55 +0000 2018,84
84,@BBC,0.296,0.0,0.864,0.136,A couple from Cornwall are dedicating their lives to helping critically endangered orangutan in Indonesia. https://t.co/GP8SXK8RHY,Thu Aug 30 08:00:13 +0000 2018,85
85,@BBC,0.0,0.0,1.0,0.0,"💊 ‘It sucked’: Eight women open up about the side effects they experienced on the birth control pill.
👉… https://t.co/6uABmLH0LM",Thu Aug 30 07:26:04 +0000 2018,86
86,@BBC,0.743,0.0,0.613,0.387,The postcards bringing smiles to these care home residents' faces. 👵👴 https://t.co/oHGQNagmEw,Thu Aug 30 07:00:16 +0000 2018,87
87,@BBC,0.5423,0.123,0.594,0.283,"🎭 Will has a problem with A Midsummer Night's Dream, a love potion and a donkey head... 

#UpstartCrow | 8:30pm |… https://t.co/leDgwwjcpe",Wed Aug 29 18:31:09 +0000 2018,88
88,@BBC,0.0,0.0,1.0,0.0,"☕ Tea? Coffee? Plastic bag? 
This is the plastic bag you can drink. https://t.co/HDK9JLMQkV",Wed Aug 29 17:27:04 +0000 2018,89
89,@BBC,0.3612,0.0,0.783,0.217,This is what it's actually like to have narcolepsy. https://t.co/CzVVHSo7cp,Wed Aug 29 16:00:22 +0000 2018,90
90,@BBC,0.0,0.0,1.0,0.0,"Ever wondered how to master the moonwalk? 
#MichaelJacksonDay https://t.co/3flflQ3Wxa",Wed Aug 29 14:35:57 +0000 2018,91
91,@BBC,0.296,0.0,0.82,0.18,"Fellow comedians hit out at Louis CK's stand-up return.
👉 https://t.co/g31ET4j8iw https://t.co/oOddJO7TXF",Wed Aug 29 13:01:06 +0000 2018,92
92,@BBC,0.0,0.0,1.0,0.0,Imagine living in a place where men and women speak different languages. https://t.co/0DaTSQt2lc,Wed Aug 29 12:00:22 +0000 2018,93
93,@BBC,-0.6486,0.185,0.815,0.0,Fishermen in the southern Mexican state of Oaxaca have found about 300 dead sea turtles entangled in fishing nets.… https://t.co/iLVILo4p92,Wed Aug 29 10:48:29 +0000 2018,94
94,@BBC,0.0,0.0,1.0,0.0,"Nearly a quarter of 14-year-old girls in the UK said they had self-harmed, a report suggests.
👉… https://t.co/aUmLsEDteD",Wed Aug 29 09:08:48 +0000 2018,95
95,@BBC,0.4939,0.0,0.775,0.225,❤️🐋 The race against time to save Valentina the humpback whale. https://t.co/YG7ByQ3MNE,Wed Aug 29 08:00:15 +0000 2018,96
96,@BBC,-0.4404,0.132,0.868,0.0,☕️ A coffee-delivering drone that can detect when people are tired and bring them a drink has been patented by tech… https://t.co/3nn2gKTE5A,Wed Aug 29 07:23:05 +0000 2018,97
97,@BBC,0.0,0.0,1.0,0.0,Everyone should get to go to the beach. https://t.co/8h0goL5kXU,Wed Aug 29 07:00:12 +0000 2018,98
98,@BBC,0.0,0.0,1.0,0.0,"🐢 Scientists have found new evidence confirming that turtles once lived without shells.
👉 https://t.co/xLIFJNJdh1 https://t.co/VUcP8zguW7",Tue Aug 28 18:56:05 +0000 2018,99
99,@BBC,0.5423,0.0,0.78,0.22,A conversation with a homeless man inspired Stephen to attempt the unusual challenge of crossing the Alps on a spac… https://t.co/w6h0Yhe5bf,Tue Aug 28 18:03:04 +0000 2018,100
