,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
45,@FoxNews,-0.25,0.16,0.679,0.16,"Dem backed by Ocasio-Cortez seeks Massachusetts primary upset, as GOP picks Warren challenger. https://t.co/fo0yUVA6KI",Tue Sep 04 21:49:05 +0000 2018,46
46,@FoxNews,-0.5106,0.202,0.798,0.0,".@POTUS says the Kavanaugh hearing shows how 'mean, angry, and despicable' Dems are. https://t.co/AfTqPbxAps",Tue Sep 04 21:39:00 +0000 2018,47
47,@FoxNews,-0.2263,0.137,0.863,0.0,"Sen. @BenSasse, at the Kavanaugh hearing, tears into Congress over 'politicized circus' https://t.co/BmHdfrQR7E",Tue Sep 04 21:32:27 +0000 2018,48
48,@FoxNews,0.4404,0.0,0.828,0.172,".@SenSchumer tells a raucous crowd 'the sooner the better' on President @realDonaldTrump's impeachment, later claim… https://t.co/XaUhH870hb",Tue Sep 04 21:24:08 +0000 2018,49
49,@FoxNews,-0.1531,0.15,0.727,0.123,"As the @NFL offers a measured response to Nike’s @Kaepernick7 ad, other reactions range from support to outrage. https://t.co/XqjPRY2xE1",Tue Sep 04 21:16:13 +0000 2018,50
50,@FoxNews,0.1027,0.134,0.714,0.151,"Supreme Court nominee Brett Kavanaugh vows to ‘keep an open mind in every case,’ after chaotic confirmation hearing… https://t.co/VNRQyLtP51",Tue Sep 04 21:07:26 +0000 2018,51
51,@FoxNews,0.6908,0.0,0.759,0.241,"Brett Kavanaugh: ""If confirmed to the Supreme Court, I would be part of a team of nine committed to deciding cases… https://t.co/0F0tsM0UOg",Tue Sep 04 21:01:21 +0000 2018,52
52,@FoxNews,0.296,0.097,0.752,0.15,"Brett Kavanaugh: ""As Justice Kennedy showed us, a judge must be independent, not swayed by public pressure. Our ind… https://t.co/OKba3V8cLw",Tue Sep 04 20:58:51 +0000 2018,53
53,@FoxNews,0.0,0.0,1.0,0.0,"Brett Kavanaugh: ""In deciding cases, a judge must always keep in mind what Alexander Hamilton said in Federalist 83… https://t.co/8MhqRED9ft",Tue Sep 04 20:55:54 +0000 2018,54
54,@FoxNews,0.0,0.0,1.0,0.0,"Brett Kavanaugh: ""My judicial philosophy is straightforward: A judge must be independent and must interpret the law… https://t.co/KODmlxSjM5",Tue Sep 04 20:53:14 +0000 2018,55
